Gene	SwissProt
ENSG00000176754	Q3SY05
ENSG00000177757	P0C7U9
ENSG00000177788	P13985
ENSG00000185495	Q16181
ENSG00000198468	Q8TAF5
ENSG00000203721	A6NCI5
ENSG00000203849	Q8NF67
ENSG00000214837	P78347
ENSG00000215859	A8MUH7
ENSG00000215863	Q8N3A8
ENSG00000215866	Q8N9X3
ENSG00000215869	Q8WTV1
ENSG00000215908	Q8IVE0
ENSG00000218510	P57086
ENSG00000223396	P46783
ENSG00000223779	P0C866
ENSG00000223804	Q8N3A8
ENSG00000224081	Q96DM1
ENSG00000224609	Q0P140
ENSG00000225278	P08243
ENSG00000226335	P15018
ENSG00000227082	Q8IVT5
ENSG00000228327	P78347
ENSG00000228463	P62750
ENSG00000228682	P11926
ENSG00000230021	Q6ZU15
ENSG00000230239	Q5VU43
ENSG00000231512	Q6ZU15
ENSG00000231551	Q5VU43
ENSG00000231734	Q658Y4
ENSG00000232274	Q8NF67
ENSG00000232347	Q14593
ENSG00000232527	P33241
ENSG00000232694	P23526
ENSG00000233430	Q5VU43
ENSG00000234232	Q5VU43
ENSG00000234277	P62269
ENSG00000234754	Q5VVS0
ENSG00000234996	P63261
ENSG00000235398	Q5VU43
ENSG00000237094	Q6ZQT7
ENSG00000237491	A6NF83
ENSG00000238009	Q6ZU15
ENSG00000238261	Q8NF67
ENSG00000239395	Q96R54
ENSG00000241014	Q7L0L9
ENSG00000241860	P78347
ENSG00000242042	Q8IZP1
ENSG00000242569	Q5TYW2
ENSG00000243636	P04003
ENSG00000261024	Q9GZQ8
ENSG00000272438	Q32P44
ENSG00000272645	Q6ZQT7
ENSG00000145063	Q8N2B8
ENSG00000175701	Q8NCU8
ENSG00000186148	O43292
ENSG00000188971	Q6ZSR9
ENSG00000224559	Q8NF67
ENSG00000224638	Q96DT5
ENSG00000229203	C9J069
ENSG00000230606	Q14847
ENSG00000232931	Q14847
ENSG00000233757	B4DU55
ENSG00000235056	A1L390
ENSG00000235118	A0A1B0GTK4
ENSG00000236790	Q6ZSB3
ENSG00000255989	Q9H2H0
ENSG00000261760	Q13021
ENSG00000273073	Q07326
ENSG00000214407	Q0VG73
ENSG00000224074	P06748
ENSG00000225873	P0DN24
ENSG00000232416	Q9GZL8
ENSG00000232746	Q8TEM1
ENSG00000236438	C9JC47
ENSG00000237697	Q9Y6C7
ENSG00000239268	P49756
ENSG00000240045	P0DN84
ENSG00000241280	Q0VG73
ENSG00000242086	Q8N307
ENSG00000250271	P22760
ENSG00000251088	P0DN80
ENSG00000270170	Q69YL0
ENSG00000272121	Q17RN3
ENSG00000170846	B2RBV5
ENSG00000205830	Q6ZS92
ENSG00000226950	P0C864
ENSG00000234828	A0A1B0GVH7
ENSG00000248173	Q13129
ENSG00000248329	P0DMC3
ENSG00000249896	Q9P0W2
ENSG00000250046	O00258
ENSG00000250298	P0DJR0
ENSG00000250312	Q3SXZ3
ENSG00000250596	Q6PK81
ENSG00000250846	Q9ULT6
ENSG00000251359	Q96NR7
ENSG00000260262	O75146
ENSG00000260404	Q75L30
ENSG00000230561	P0DO97
ENSG00000238035	Q6ZQT7
ENSG00000248596	Q8TEP8
ENSG00000248943	A6ND36
ENSG00000249430	Q8TER5
ENSG00000249738	Q14767
ENSG00000250765	Q6ZU15
ENSG00000250786	P11279
ENSG00000253315	Q96RT6
ENSG00000272016	Q3C1V9
ENSG00000272070	Q9Y5G2
ENSG00000170590	Q6ZU15
ENSG00000183674	Q8N0U6
ENSG00000204110	Q6ZS52
ENSG00000223414	A8K010
ENSG00000228559	Q17RH7
ENSG00000228789	E2RYF7
ENSG00000229214	Q5T6M2
ENSG00000229921	Q9Y6Z4
ENSG00000230438	P35237
ENSG00000231028	P0C7V0
ENSG00000231690	Q9H8X3
ENSG00000233183	Q9BYV6
ENSG00000233237	Q9H8W2
ENSG00000235994	Q68DA7
ENSG00000242753	O43422
ENSG00000262179	A0A1B0GTQ4
ENSG00000272549	Q6ZSV7
ENSG00000179406	Q6ZQT7
ENSG00000182165	Q9Y2A0
ENSG00000188185	Q6ZQT7
ENSG00000225718	Q9Y6U7
ENSG00000226680	Q8TDU5
ENSG00000229192	Q9Y6G3
ENSG00000230487	Q96PY0
ENSG00000230914	Q2TAC6
ENSG00000233977	P13942
ENSG00000234718	P62750
ENSG00000236081	P29966
ENSG00000237310	A6NF83
ENSG00000241657	P04435
ENSG00000244219	P0DP42
ENSG00000272556	Q6ZQT7
ENSG00000273142	Q75L30
ENSG00000273313	A6NC62
ENSG00000170983	Q96KT6
ENSG00000182366	P0C7U9
ENSG00000215117	Q9Y4M8
ENSG00000215374	P0C841
ENSG00000225725	P0C841
ENSG00000227888	P0C841
ENSG00000229140	Q8TAB7
ENSG00000253230	Q7L4I2
ENSG00000253279	Q6ZVS7
ENSG00000253301	Q9BXX3
ENSG00000254973	Q9H741
ENSG00000170161	Q5VV11
ENSG00000182021	Q6UB35
ENSG00000203279	Q8IVF6
ENSG00000204148	Q9P2X8
ENSG00000204250	B1AMM8
ENSG00000204802	Q5XG85
ENSG00000204837	Q8NFD4
ENSG00000204844	Q4VXF1
ENSG00000215112	Q5RGS3
ENSG00000223839	Q9H0H9
ENSG00000224267	Q86UD7
ENSG00000224303	Q86W56
ENSG00000225597	Q5RGS3
ENSG00000226007	Q5XG85
ENSG00000226562	Q9H0H9
ENSG00000228136	Q86UD7
ENSG00000228430	O15269
ENSG00000228623	P0CG24
ENSG00000229746	Q5TZK3
ENSG00000230601	A0A1B0GUV7
ENSG00000231459	P0C843
ENSG00000231757	Q5RGS3
ENSG00000233013	P0CG42
ENSG00000233074	P78347
ENSG00000233137	P0CF75
ENSG00000233244	Q9H0H9
ENSG00000233926	Q68DA7
ENSG00000234394	Q6ZSN1
ENSG00000234407	Q5TZK3
ENSG00000234665	Q8NFD4
ENSG00000235037	Q86UD7
ENSG00000235283	Q03393
ENSG00000235387	A0A1B0GVQ0
ENSG00000235659	Q5VSD8
ENSG00000236322	Q8IZF2
ENSG00000236717	Q5VWI1
ENSG00000237357	Q5XG85
ENSG00000242375	Q9UJW8
ENSG00000203496	Q6ZU15
ENSG00000214986	A8MYX2
ENSG00000226113	Q8N7P1
ENSG00000227877	P0DMT0
ENSG00000231976	Q7Z5R6
ENSG00000232224	Q7Z5R6
ENSG00000233261	Q7Z5R6
ENSG00000233515	P78347
ENSG00000234531	Q96S59
ENSG00000235687	Q9NTI2
ENSG00000237267	P52630
